user_id,book_id,rating
20,35879889-christy,5
329,99944.The_Bhagavad_Gita,3
266,12067.Good_Omens,3
409,1232.The_Shadow_of_the_Wind,3
374,332613.One_Flew_Over_the_Cuckoo_s_Nest,4
322,22034.The_Godfather,4
76,51893.Thus_Spoke_Zarathustra,3
98,28194.Inkheart,4
449,12957.Much_Ado_About_Nothing,2
227,46945.Requiem_for_a_Dream,4
120,6137154-fire,3
150,3463.A_Bend_in_the_Road,4
366,6689.James_and_the_Giant_Peach,4
208,51737.The_Truth_About_Forever,3
113,186074.The_Name_of_the_Wind,3
252,365.Dirk_Gently_s_Holistic_Detective_Agency,4
80,153747.Moby_Dick_or_the_Whale,3
104,17889664-to-live-and-die-in-fantasyland,4
168,77142.Snow_Falling_on_Cedars,5
485,40937505,2
470,14497.Neverwhere,2
91,16902.Walden,3
74,18635016-the-one,3
433,40593473-finding-hope-in-the-darkness-of-grief,3
442,6482837-before-i-fall,2
139,58696.David_Copperfield,2
171,5161066-dead-and-gone,4
6,24113.G_del_Escher_Bach,3
68,656.War_and_Peace,4
397,102868.A_Study_in_Scarlet,5
194,60748.A_Child_Called_It_,3
371,5826.Bel_Canto,3
60,24337.Ella_Enchanted,5
248,41804.I_Robot,4
375,7745.Fear_and_Loathing_in_Las_Vegas,4
462,5168.Where_the_Heart_Is,1
96,7747064-the-iron-daughter,4
219,7260188-mockingjay,4
416,29059.Choke,1
486,40611510-the-last-lecture,2
154,130440.Doctor_Zhivago,4
181,17150.My_ntonia,4
184,9809.Invisible_Cities,5
278,5287473-hex-hall,1
403,179064.The_Goose_Girl,4
283,4667024-the-help,2
122,6487308-fallen,3
419,11505797-beautiful-disaster,4
98,646462._,5
173,16081272-the-edge-of-never,4
428,2702704-faefever,3
270,43641.Water_for_Elephants,2
131,3388.Corelli_s_Mandolin,4
335,7967.Speaker_for_the_Dead,4
86,7046495-lover-mine,1
269,168668.Catch_22,2
369,4268157-perfect-chemistry,4
358,140075.All_Together_Dead,3
86,11505797-beautiful-disaster,3
275,11735983-insurgent,2
37,29999.The_Maltese_Falcon,5
390,24280.Les_Mis_rables,3
402,52529.The_Secret,2
197,7967.Speaker_for_the_Dead,5
357,18692431-everything-everything,2
80,5359.The_Client,3
137,44186.The_Monster_at_the_End_of_this_Book,4
34,6485421-the-mortal-instruments-boxed-set,4
134,3.Harry_Potter_and_the_Sorcerer_s_Stone,5
29,6690798-the-passage,4
267,386372.Mort,4
313,5096.Wizard_and_Glass,5
272,153747.Moby_Dick_or_the_Whale,3
63,8492825-where-she-went,3
455,6969.Emma,2
474,10222.The_Far_Pavilions,5
225,18116.His_Dark_Materials,3
112,8913370-fingersmith,3
473,5056084-wings,4
480,7190.The_Three_Musketeers,4
417,34521870-mistress-suffragette,5
223,8667848-a-discovery-of-witches,5
370,1375.The_Iliad_The_Odyssey,3
140,20613470-heir-of-fire,4
361,78983.Kane_and_Abel,2
76,830502.It,5
382,1656001.The_Host,2
197,13928.Daughter_of_the_Forest,2
111,370493.The_Giving_Tree,2
67,60400.The_Ruins_of_Gorlan,5
31,231804.The_Outsiders,3
255,77197.Assassin_s_Apprentice,3
20,40495148-blindness,3
495,6479259-spirit-bound,3
183,5890.The_Woman_in_White,1
94,41044096-island-of-the-blue-dolphins,4
348,3008.A_Little_Princess,3
465,11250317-the-song-of-achilles,3
177,270730.Crank,2
127,19302.Pippi_Longstocking,4
104,37095.The_Shell_Seekers,3
272,5161066-dead-and-gone,5
189,16328.The_Murder_of_Roger_Ackroyd,5
